"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","99/1572","474/18860",0.208860759493671,2.50579766160982,10.0121047684598,5.87923699776161e-18,3.28120216845075e-14,2.63513590910199e-14,"ABCB5/ACTN2/ADRA1A/AKAP6/ANK2/ATP1A2/ATP1A3/BIN1/CACNA2D1/CASQ2/CHRNA6/CHRNG/DCN/DMD/DRD2/FHL1/GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GRIA2/GRIA4/GRIN2B/GRIN2D/HTR3A/KCNA1/KCNA2/KCNA4/KCNE1/KCNG1/KCNG3/KCNH1/KCNH2/KCNH8/KCNK1/KCNK9/KCNMB2/KCNQ2/MAPK8IP2/MET/NETO1/NLGN1/NOS1/NPAS4/NTRK2/NTSR1/OPRD1/P2RX5/RELN/RGS4/RGS7/RIMS2/SCN11A/SCN1A/SCN2A/SCN3A/SCN4A/SCN4B/SCN5A/SCN7A/SCN9A/SLC1A6/SLC26A3/SLC4A8/SLC6A4/SLC8A2/TRDN/TRPA1/ABCC9/CAV1/CD36/CHRNA4/GABRG2/KCNA6/KCNB1/KCNF1/KCNJ3/KCNK16/KCNQ5/NPR2/P2RX2/TACR1/ADRB2/CACNA1H/CHRNA2/CHRNA9/CHRND/DRD4/KCNJ10/MYOC/NDP/PID1/PYCR1/SCN2B/SCN3B/SEZ6/SLC17A7/SLC1A7",99
"GO:0043062","extracellular structure organization","73/1572","332/18860",0.219879518072289,2.6379947269996,9.07988805856209,9.13180906147263e-15,2.54823131860394e-11,2.04648647282897e-11,"ADAM8/ADAMTS1/ADAMTS14/ADAMTS19/ADAMTS20/ADAMTS5/ADAMTSL2/ADAMTSL4/ANGPTL7/APLP1/CCDC80/COL11A1/COL12A1/COL14A1/COL1A1/COL1A2/COL2A1/COL5A1/COL5A2/COL6A5/COL6A6/CREB3L1/CTSG/DDR2/DMP1/DPP4/DPT/EGFLAM/ELANE/GFAP/HAS1/IL6/LAMA2/LRP1/MATN2/MFAP4/MMP10/MMP26/MMP27/MYH11/NPHS1/POSTN/PPARG/PXDNL/RECK/TEX14/TGFBR3/TLL2/TMPRSS6/TNR/TNXB/ABI3BP/CAV1/COMP/GPM6B/IBSP/LTBP4/NPNT/SULF1/VIT/ADAMTS18/BMP2/ECM2/EGFL6/FAP/FGFR4/FLRT2/MMP11/MMP28/MMP3/MMP9/NOXO1/PRSS1",73
"GO:0030198","extracellular matrix organization","72/1572","331/18860",0.217522658610272,2.60971841055326,8.90945506007366,2.49582743675498e-14,4.64307097484317e-11,3.72885376340445e-11,"ADAM8/ADAMTS1/ADAMTS14/ADAMTS19/ADAMTS20/ADAMTS5/ADAMTSL2/ADAMTSL4/ANGPTL7/APLP1/CCDC80/COL11A1/COL12A1/COL14A1/COL1A1/COL1A2/COL2A1/COL5A1/COL5A2/COL6A5/COL6A6/CREB3L1/CTSG/DDR2/DMP1/DPP4/DPT/EGFLAM/ELANE/GFAP/HAS1/IL6/LAMA2/LRP1/MATN2/MFAP4/MMP10/MMP26/MMP27/MYH11/NPHS1/POSTN/PPARG/PXDNL/RECK/TGFBR3/TLL2/TMPRSS6/TNR/TNXB/ABI3BP/CAV1/COMP/GPM6B/IBSP/LTBP4/NPNT/SULF1/VIT/ADAMTS18/BMP2/ECM2/EGFL6/FAP/FGFR4/FLRT2/MMP11/MMP28/MMP3/MMP9/NOXO1/PRSS1",72
"GO:0045229","external encapsulating structure organization","72/1572","333/18860",0.216216216216216,2.59404442610549,8.84979501127517,3.44645941764585e-14,4.80867250247037e-11,3.86184847377264e-11,"ADAM8/ADAMTS1/ADAMTS14/ADAMTS19/ADAMTS20/ADAMTS5/ADAMTSL2/ADAMTSL4/ANGPTL7/APLP1/CCDC80/COL11A1/COL12A1/COL14A1/COL1A1/COL1A2/COL2A1/COL5A1/COL5A2/COL6A5/COL6A6/CREB3L1/CTSG/DDR2/DMP1/DPP4/DPT/EGFLAM/ELANE/GFAP/HAS1/IL6/LAMA2/LRP1/MATN2/MFAP4/MMP10/MMP26/MMP27/MYH11/NPHS1/POSTN/PPARG/PXDNL/RECK/TGFBR3/TLL2/TMPRSS6/TNR/TNXB/ABI3BP/CAV1/COMP/GPM6B/IBSP/LTBP4/NPNT/SULF1/VIT/ADAMTS18/BMP2/ECM2/EGFL6/FAP/FGFR4/FLRT2/MMP11/MMP28/MMP3/MMP9/NOXO1/PRSS1",72
"GO:0030900","forebrain development","82/1572","419/18860",0.195704057279236,2.34795071265038,8.41399044311916,1.93902901445573e-13,2.16434418593549e-10,1.73818643022158e-10,"ALDH1A3/APLP1/ASPM/ATP1A2/CDH2/DLC1/DRD2/EGFR/EZH2/FAT4/FEZF2/FILIP1/FOXP2/GHRH/HAP1/HMGA2/KCNA1/KCNA2/KIAA0319/LHX1/LHX5/LHX6/LRP8/NTRK2/P2RY12/PAX5/PCDH9/PLXNA4/PROX1/PTCHD1/RELN/ROBO2/SALL3/SCN5A/SEMA3A/SEMA3D/SEMA3G/SLC7A11/SOX2/SOX3/STIL/TACC1/TBR1/TNR/TYRO3/WDR62/ZEB2/ALDH1A2/AVPR1A/CCKAR/CNTNAP2/DLX1/DLX2/DMRTA2/EMX2/IGF2BP1/LHX2/NFIB/POU4F1/PRDM13/SLC32A1/SLIT1/WNT7B/ZIC1/AVPR2/BMP2/CCDC141/DCT/DLX5/E2F1/FGF2/FOS/FOXG1/GHRHR/INHBA/KIF14/LMX1A/NEFL/NEUROD1/NR4A3/SRD5A2/TACC3",82
"GO:0042445","hormone metabolic process","58/1572","246/18860",0.235772357723577,2.82866836301951,8.70554318737661,2.33005183807955e-13,2.167336551387e-10,1.74058960114785e-10,"ADH1A/ADH1B/ADH1C/ADH4/ADH7/AKR1C1/AKR1C2/AKR1C4/ALDH1A1/ALDH1A3/CEL/CHST8/CRHBP/CTSG/CYP11B2/CYP1A1/DPP4/EDNRB/ESR1/FOXA1/GAL/GATA3/HSD17B6/IYD/LIPE/PCSK5/RDH16/RETSAT/SDR16C5/SLC30A8/SLCO1C1/TPO/UGT2B17/ALDH1A2/CGA/CHST9/CORIN/CYP1A2/CYP26B1/CYP3A4/GHR/LHCGR/UGT2B28/BMP2/BMP6/CACNA1H/DGAT2/DHRS2/ECE2/FFAR3/GHRHR/INHBA/MME/NR3C1/RDH5/SLC5A5/SPP1/SRD5A2",58
"GO:0003012","muscle system process","87/1572","485/18860",0.179381443298969,2.15212087825608,7.75119149544795,5.41309037085671e-12,4.31577962282161e-09,3.46600583445231e-09,"ACACB/ACTA2/ADRA1A/AKAP6/ANK2/ATP1A2/BIN1/CACNA2D1/CASQ2/CCDC78/CHRNG/COL14A1/DMD/DRD2/EDNRB/EZH2/FOXO1/GNAI1/HTR1D/HTR2A/JPH1/JPH2/KCNA1/KCNE1/KCNH2/KIT/KLF15/KLF4/LMOD1/MYH1/MYH11/MYH6/MYLK/MYOCD/MYOM2/NMUR1/NOS1/NPR3/PPARG/RGS4/RYR3/SCN11A/SCN1A/SCN2A/SCN3A/SCN4A/SCN4B/SCN5A/SCN7A/SCN9A/STAC2/SYNM/TBX20/TNNI3/TNNT1/TRDN/TRPA1/ABCC9/CAV1/CNN1/COMP/EDN3/GHSR/KCNJ3/MYLK2/MYOZ2/NPNT/P2RX2/PPP1R12B/SULF1/TACR1/TMOD1/ADRB2/CA3/CACNA1H/CACNG1/CALCA/CHRND/CKMT2/JPH3/MYOC/NMU/NR4A3/PI16/SCN2B/SCN3B/TNNT3",87
"GO:0006936","muscle contraction","72/1572","372/18860",0.193548387096774,2.32208815562669,7.76604928508464,1.01204303799254e-11,6.84501987704458e-09,5.4972405693105e-09,"ACTA2/ADRA1A/ANK2/ATP1A2/BIN1/CACNA2D1/CASQ2/CCDC78/CHRNG/DMD/DRD2/EDNRB/HTR1D/HTR2A/JPH1/JPH2/KCNA1/KCNE1/KCNH2/KIT/LMOD1/MYH1/MYH11/MYH6/MYLK/MYOCD/MYOM2/NMUR1/NOS1/RYR3/SCN11A/SCN1A/SCN2A/SCN3A/SCN4A/SCN4B/SCN5A/SCN7A/SCN9A/STAC2/SYNM/TBX20/TNNI3/TNNT1/TRDN/TRPA1/ABCC9/CAV1/CNN1/COMP/EDN3/GHSR/KCNJ3/MYLK2/NPNT/P2RX2/PPP1R12B/SULF1/TACR1/TMOD1/ADRB2/CA3/CACNA1H/CACNG1/CALCA/CHRND/CKMT2/JPH3/NMU/SCN2B/SCN3B/TNNT3",72
"GO:0001508","action potential","45/1572","179/18860",0.251396648044693,3.01612009040897,8.17252159407401,1.1038376436732e-11,6.84501987704458e-09,5.4972405693105e-09,"ADRA1A/AKAP6/ANK2/ATP1A2/BIN1/CACNA2D1/CASQ2/DMD/KCNA1/KCNA2/KCNA4/KCNE1/KCNG1/KCNG3/KCNH2/KCNK9/KCNMB2/KCNQ2/NOS1/NTRK2/SCN11A/SCN1A/SCN2A/SCN3A/SCN4A/SCN4B/SCN5A/SCN7A/SCN9A/SLC8A2/TRPA1/ABCC9/CAV1/CD36/CHRNA4/KCNA6/KCNB1/KCNF1/KCNJ3/KCNK16/NPR2/TACR1/NDP/SCN2B/SCN3B",45
"GO:0021537","telencephalon development","59/1572","291/18860",0.202749140893471,2.43247378959978,7.42595212223588,1.12231398725872e-10,6.26363436289093e-08,5.03032942920805e-08,"ALDH1A3/ASPM/ATP1A2/CDH2/DRD2/EGFR/EZH2/FAT4/FEZF2/FILIP1/FOXP2/KCNA1/KCNA2/LHX1/LHX5/LHX6/LRP8/NTRK2/P2RY12/PAX5/PLXNA4/PROX1/RELN/ROBO2/SALL3/SCN5A/SEMA3A/SLC7A11/TACC1/TBR1/TNR/WDR62/ZEB2/AVPR1A/CNTNAP2/DLX1/DLX2/DMRTA2/EMX2/IGF2BP1/LHX2/NFIB/SLC32A1/SLIT1/ZIC1/AVPR2/BMP2/CCDC141/DLX5/FOS/FOXG1/INHBA/KIF14/LMX1A/NEFL/NEUROD1/NR4A3/SRD5A2/TACC3",59
"GO:0060078","regulation of postsynaptic membrane potential","39/1572","152/18860",0.256578947368421,3.07829449578144,7.75761861876915,1.34245970117388e-10,6.43047086344e-08,5.16431594725102e-08,"CHRNA6/CHRNG/DRD2/GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GRIA2/GRIA4/GRIN2B/GRIN2D/HTR3A/KCNA2/KCNK1/MAPK8IP2/MET/NETO1/NLGN1/NOS1/NPAS4/NTSR1/P2RX5/RELN/RGS4/RGS7/RIMS2/SLC8A2/CHRNA4/GABRG2/P2RX2/ADRB2/CHRNA2/CHRNA9/CHRND/DRD4/SEZ6/SLC17A7/SLC1A7",39
"GO:0000070","mitotic sister chromatid segregation","45/1572","192/18860",0.234375,2.8119036259542,7.60939338473149,1.38264917328937e-10,6.43047086344e-08,5.16431594725102e-08,"AURKB/BUB1/BUB1B/CCNB1/CDCA8/CDK1/CDT1/CENPE/CENPF/KIF11/KIF15/KIF18B/KIF23/KIF2C/KIFC1/MYBL2/NCAPH/NUSAP1/PLK1/PRC1/PSRC1/SKA1/SKA3/SMC4/SPAG5/TEX14/TTK/UHRF1/CDC20/CENPK/KIF25/KIF4B/TPX2/TRIP13/ZWINT/BIRC5/DLGAP5/ESPL1/KIF14/KIF18A/KIF4A/MAD2L1/NCAPG/NUF2/RACGAP1",45
