"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","84/867","371/9393",0.226415094339623,2.45296076255141,9.10553265523014,2.24036338731199e-15,7.41560281200268e-13,6.46167966445773e-13,"117/148/155/8973/1146/1511/1813/1910/2147/2554/2555/2556/2557/2558/2564/2565/55879/200959/51083/2691/9340/2891/2893/2904/2906/2914/3061/11255/3352/3356/3358/3953/2847/10316/2831/4923/4985/5026/5367/5737/1901/6752/6755/7432/552/886/1081/1137/1443/1908/9568/2566/2690/2693/9248/3827/3973/22953/6869/7425/154/554/796/885/1135/55584/1144/1395/1815/2151/2587/2692/2918/3354/3375/10874/4886/2908/9934/5179/5644/5745/5697/7200",84
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","20/867","41/9393",0.48780487804878,5.28483416322053,8.76777959220904,6.72144894310013e-11,1.11239980008307e-08,9.69303689689176e-09,"774/8973/2554/2555/2556/2557/2558/2564/2565/55879/200959/2891/2893/2904/2906/246213/1137/2566/140679/57030",20
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","29/867","89/9393",0.325842696629214,3.53015046071304,7.64755179741342,6.29262285851917e-10,6.94286055389949e-08,6.04974969555879e-08,"1277/1278/1280/256076/131873/1297/1758/1834/2335/158326/3161/3679/3908/3909/3910/3914/5649/7143/7148/7450/948/1299/1311/3381/255743/9899/56955/6382/6696",29
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","47/867","199/9393",0.236180904522613,2.55876267148893,7.08712694599604,9.42610943806068e-10,7.80010555999521e-08,6.79672101586481e-08,"148/8973/1813/2554/2555/2556/2557/2558/2564/2565/55879/200959/2770/2891/2893/2904/2906/2914/11255/3352/3356/3358/3359/4985/5026/64805/246213/6570/6572/6511/6532/6536/1137/9568/2566/54331/22953/140679/6869/154/1815/2918/3354/9934/5179/57030/6512",47
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","51/867","233/9393",0.218884120171674,2.37137086594294,6.75928983354525,3.08203402753178e-09,1.71208233758019e-07,1.49184468276983e-07,"72/88/270/287/477/478/93661/1301/1277/1278/1289/1290/256076/131873/1297/23500/1634/81624/1756/2026/2201/84467/2273/2318/2335/3679/3908/11155/25802/4619/4629/4624/8736/9172/27295/6711/171024/7137/7138/1462/633/1299/1311/51778/6445/83660/7111/6382/137868/7140/165904",51
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","24/867","68/9393",0.352941176470588,3.82373295338897,7.45194403767544,3.1034725152511e-09,1.71208233758019e-07,1.49184468276983e-07,"124/125/126/127/131/216/220/1543/1548/1549/8630/8608/54884/195814/7367/8854/316/1544/56603/1576/54575/54490/1555/5959",24
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","29/867","103/9393",0.281553398058252,3.05032418449961,6.67189520601455,2.68206590462727e-08,1.26823402061661e-06,1.10509181634267e-06,"477/478/1300/1301/1303/7373/1308/1277/1278/169044/1280/1289/1290/256076/131873/1297/1357/1360/1803/5222/6564/6543/1299/7512/84570/1358/4311/5644/153201",29
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","15/867","37/9393",0.405405405405405,4.39212568970354,6.5924010207968,3.57965310365164e-07,1.48108147163587e-05,1.29055914526388e-05,"124/125/126/127/131/314/8639/3242/7054/7173/316/218/1638/4128/7306",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","42/867","219/9393",0.191780821917808,2.07773617101958,5.1460153219861,3.27366766154603e-06,0.000120398221774637,0.000104910519212118,"148/155/658/1813/2099/2100/2691/2770/3061/3953/2847/4842/4881/4883/4985/5367/10411/53919/6752/6755/7432/552/886/1081/1443/2690/2693/54331/3973/4882/154/554/796/885/1395/1815/2692/3375/5179/5745/7066/7200",42
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","32/867","154/9393",0.207792207792208,2.25120208511212,4.99219180313041,8.76909551756747e-06,0.000290257061631483,0.000252919175980367,"1277/1278/1280/256076/131873/1297/1758/1834/1956/2064/2335/158326/3679/3908/3909/3910/3914/4233/5649/7143/7148/7450/1299/1311/2266/3381/255743/80310/83660/10979/55679/6696",32
"Organismal Systems","Sensory system","hsa04742","Taste transduction","21/867","86/9393",0.244186046511628,2.64548965961213,4.88827300373222,2.51472636538773e-05,0.000756704024493943,0.000659363659441375,"255022/2554/2555/2556/2557/2558/2914/3352/3359/5137/6326/6328/6335/29850/9568/22953/5153/50838/3354/5726/259286",21
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","14/867","45/9393",0.311111111111111,3.37054978854287,5.08290406377891,3.20846022848072e-05,0.000885000279689264,0.000771156230354137,"10349/23461/23460/10351/10350/5243/8647/340273/94160/368/225/6890/10060/64241",14
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","21/867","91/9393",0.230769230769231,2.50013308490817,4.58541074665965,6.1889315614854e-05,0.0015757971898859,0.00137309088894494,"774/2554/2555/2556/2557/2558/2564/2565/55879/200959/2770/50940/5137/5140/27115/9568/2566/54331/3760/5153/140679",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","61/867","404/9393",0.150990099009901,1.63581314878893,4.16562742460726,6.99403877904389e-05,0.00165359059704538,0.00144087716199852,"1009/1010/1012/1016/1000/28316/64072/1005/9620/1951/1496/23500/1823/1956/2064/2196/79633/2554/2555/2556/2557/2558/2564/2565/55879/200959/3848/3861/3880/3881/3885/8688/3852/9119/3891/3892/5602/4233/57575/54510/5101/56147/56112/56099/6330/6331/124590/1013/2566/3872/3849/192666/3886/222662/117532/7477/3875/3887/22808/6327/55800",61
"Cellular Processes","Cell motility","hsa04814","Motor proteins","35/867","194/9393",0.180412371134021,1.95457139799522,4.28405363523229,8.01468365808336e-05,0.00176857352721706,0.00154106899811568,"59/72/93661/1062/8701/55567/1769/3832/56992/146909/547/9493/347240/55083/11004/3833/4619/4629/4624/23026/84700/140469/7137/7138/7278/113457/112714/3834/285643/9928/81930/10112/24137/90990/7140",35
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","18/867","76/9393",0.236842105263158,2.56592606082681,4.37074960326418,0.000143382100754914,0.00296621720936728,0.00258465102676621,"33/1581/4973/5105/729359/5468/6319/10580/948/2167/9415/5346/6258/2180/335/364/2172/4023",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","47/867","298/9393",0.157718120805369,1.70870393163187,3.96449202856396,0.000168971784758275,0.00328998004441112,0.0028667658838246,"130399/651/658/6364/6368/1440/6376/2920/2833/2662/2661/27190/3569/3953/5473/7048/85480/6356/1443/10913/2690/3458/3590/11009/4049/8793/650/654/6357/6366/6370/56477/1236/1271/643/9518/3456/3593/50604/59067/50615/3624/3977/5196/285613/7066/7292",47
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","38/867","226/9393",0.168141592920354,1.8216308907738,3.98688115032167,0.000188427753465374,0.00346497702205771,0.00301925172219371,"117/477/478/492/1260/90993/84699/1813/2770/2891/2893/2904/2906/3352/3991/5602/4881/5140/10411/6752/6755/7137/7432/51806/1081/1908/9568/2693/338442/3973/154/489/148327/9586/1395/2353/3354/4886",38
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","18/867","79/9393",0.227848101265823,2.46848583066883,4.17956530866814,0.000241700032124921,0.00421066898070258,0.0036690198782398,"124/125/126/127/131/1645/1543/1553/1548/1549/3290/7367/1544/1576/54575/54490/218/1555",18
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","41/867","254/9393",0.161417322834646,1.74878075361687,3.85778587935442,0.000263690683475458,0.00426489742148651,0.00371627251864304,"148/155/492/774/777/845/1910/1956/2064/2252/2904/2906/3356/3358/4233/4638/4842/4915/4923/5026/5137/89869/5737/6263/6543/10345/552/51806/886/3973/85366/22953/5153/80310/5979/6869/154/489/8912/2247/2264",41
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","17/867","73/9393",0.232876712328767,2.52296535052377,4.16542599601891,0.000270582615864703,0.00426489742148651,0.00371627251864304,"124/125/126/127/131/1548/1549/2327/7367/316/1544/1576/54575/54490/218/1555/4128",17
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","13/867","49/9393",0.26530612244898,2.87430266224137,4.19456833211948,0.000364400391788705,0.00548256953100278,0.00477730657177536,"90993/84699/1813/2770/2891/2904/2906/6570/7054/2354/148327/9586/4128",13
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","19/867","89/9393",0.213483146067416,2.3128571983982,3.96820014590271,0.00039989699348714,0.0055152460351768,0.00480577965857352,"729/10877/2159/2165/2147/2157/5648/5624/7035/7450/2266/3827/5329/5627/722/730/2161/2151/2155",19
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","19/867","89/9393",0.213483146067416,2.3128571983982,3.96820014590271,0.00039989699348714,0.0055152460351768,0.00480577965857352,"774/2554/2555/2556/2557/2558/2564/2565/55879/200959/2770/9001/57468/9568/2566/2571/54331/140679/92745",19
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","52/867","362/9393",0.143646408839779,1.55625227016383,3.44170852121372,0.000796172531729636,0.0102188317278565,0.00890430877224575,"930/1277/1278/1280/256076/131873/1297/90993/84699/1440/1956/2064/2252/2335/2998/3569/3679/3815/3908/3909/3910/3914/4233/3164/4909/4915/5105/5649/7010/7143/7148/7450/284/51378/9134/1299/1311/1443/2690/54331/3381/80310/5979/148327/9586/1944/2247/2264/3456/10110/6696/9623",52
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","15/867","66/9393",0.227272727272727,2.46225228059138,3.80136186250106,0.000802687688592956,0.0102188317278565,0.00890430877224575,"1645/1646/1109/1585/1543/1581/3290/8630/7367/1544/1576/54575/54490/5959/6716",15
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","27/867","158/9393",0.170886075949367,1.85136437300162,3.44145022403303,0.00119983932897237,0.014709141403328,0.0128169971204066,"9212/699/701/891/993/995/8318/983/81620/157570/4171/4998/5347/27127/7272/9134/991/8317/1111/4173/10744/9319/890/113130/1869/9700/4085",27
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","11/867","43/9393",0.255813953488372,2.7714653576889,3.71259018928704,0.00141446038497855,0.0167209424081393,0.014570005469328,"338/1056/5407/5408/64241/948/335/84649/26279/64600/50487",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","19/867","100/9393",0.19,2.05844290657439,3.39316825036276,0.00177058452950939,0.0202090854919865,0.0176094432335961,"6364/6368/6376/2920/2833/3569/5473/6356/11009/4049/8793/6357/6366/6370/56477/1236/643/50604/5196",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","43/867","299/9393",0.1438127090301,1.55805395146451,3.12716094372227,0.00214736822274389,0.0231085863772652,0.0201359601442858,"287/1000/10332/2037/2308/58494/3736/3737/3739/3785/145581/80059/5602/4629/4638/22871/4868/5063/84612/91584/8497/6092/64221/54538/6586/84631/84189/10580/6711/201633/7278/113457/112714/219699/26047/2266/342035/3742/84063/85366/6585/57863/90249",43
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","6/867","16/9393",0.375,4.06271626297578,3.9097656300272,0.00216424827098254,0.0231085863772652,0.0201359601442858,"314/8639/3242/5053/218/4128",6
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","31/867","203/9393",0.152709359605911,1.65443946341214,3.00590789904443,0.0034564310876236,0.0357524590626067,0.0311533591450285,"1277/1278/1280/256076/131873/1297/1956/2064/2335/3679/3908/3909/3910/3914/5602/4233/4638/5063/5649/7143/7148/7450/857/1299/1311/3381/85366/80310/4660/83660/6696",31
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","14/867","69/9393",0.202898550724638,2.19818464470187,3.18539349678234,0.0036827218638198,0.036938816270435,0.0321871065609769,"90993/84699/2891/2893/2904/2906/6570/7054/51806/2354/148327/9586/2353/4128",14
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","10/867","42/9393",0.238095238095238,2.57950238919097,3.27138629851249,0.00407032074244266,0.0385463257227536,0.033587830332436,"1543/169355/121278/316/1544/11185/8564/847/4128/6999",10
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","23/867","139/9393",0.165467625899281,1.792661372632,3.00224599454386,0.00407589546917335,0.0385463257227536,0.033587830332436,"90993/84699/1956/2099/2100/2770/3310/3861/3880/3881/3885/8688/51806/9568/3760/3872/192666/3886/148327/9586/2353/3875/4318",23
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","11/867","50/9393",0.22,2.38346020761246,3.1276952197495,0.00506246266190163,0.0465465316969289,0.0405589113848259,"1440/3569/4035/4233/6403/948/1311/3458/3040/3043/6382",11
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","18/867","102/9393",0.176470588235294,1.91186647669448,2.95267761957622,0.0052734047542484,0.0471755938826006,0.0411070527073702,"477/478/492/1056/22802/1357/1360/5407/5408/1811/886/489/885/1358/26279/64600/50487/5644",18
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","9/867","37/9393",0.243243243243243,2.63527541382213,3.17806363723127,0.00542943786753131,0.0472932614250754,0.0412095838145036,"169355/3569/3910/3458/3827/335/3040/3043/3593",9
