gene,damage_score,gnomAD_SAS_AF,Variant_Classification,log2FoldChange,padj,direction,MutExpress_Priority
A2ML1,3.0,0.0,Missense_Mutation,3.2916606988017,1.29541410328727e-34,UP,HIGH
AADAC,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-3.80210059969804,1.20284642648022e-36,DOWN,HIGH
AADACL3,3.0,0.0,Missense_Mutation,-2.93344088306688,6.51334587571904e-17,DOWN,HIGH
AADACL4,3.0,0.0,Missense_Mutation,-1.66072003837452,5.92113987796573e-13,DOWN,HIGH
AASS,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.68539694663464,8.518081772816249e-70,DOWN,HIGH
ABCA10,3.0,0.0,"Missense_Mutation, Splice_Site, Nonsense_Mutation",-3.34636512751032,5.10041111789495e-108,DOWN,HIGH
ABCA5,3.0,0.0,Missense_Mutation,-1.51981333869548,1.4837440682282801e-60,DOWN,HIGH
ABCA6,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.7015177505617,3.02587868801031e-95,DOWN,HIGH
ABCA8,3.0,0.0,"Missense_Mutation, Splice_Site",-3.91990096457826,2.6387819430985303e-111,DOWN,HIGH
ABCA9,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",-3.61953730858809,8.042525621065459e-134,DOWN,HIGH
ABCB1,3.0,0.0,Missense_Mutation,-2.03877582370131,1.8282473681123302e-63,DOWN,HIGH
ABCB11,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.00163834744673,1.0476627032428201e-19,DOWN,HIGH
ABCB5,3.0,0.0,Missense_Mutation,-3.53553722383924,3.84687071435552e-74,DOWN,HIGH
ABCC12,3.0,0.0,Missense_Mutation,1.89398446787949,1.64246713363277e-11,UP,HIGH
ABCC6,3.0,0.0,Missense_Mutation,-1.50679072422526,3.8645020623909204e-23,DOWN,HIGH
ABCD2,3.0,6.533e-05,Missense_Mutation,-4.13873376837165,1.63277739490829e-156,DOWN,HIGH
ABLIM3,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.5095936094513,8.071228324958519e-30,DOWN,HIGH
ABRA,3.0,0.0,Missense_Mutation,-1.77867499851659,2.53473179605019e-18,DOWN,HIGH
ACACB,3.0,0.0,Missense_Mutation,-3.67902481369036,7.212787233548961e-201,DOWN,HIGH
ACADL,3.0,0.0,Missense_Mutation,-3.35161816712528,3.5854598796613e-46,DOWN,HIGH
ACO1,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.04802312883537,2.6937200157444e-179,DOWN,HIGH
ACSM1,3.0,0.0,Missense_Mutation,-1.65243856992053,1.3068431599959101e-21,DOWN,HIGH
ACSM2A,3.0,0.0,Missense_Mutation,-2.61044474107755,2.9484659528465697e-22,DOWN,HIGH
ACSM3,3.0,0.0,Missense_Mutation,-1.94440391161962,1.0204937345468101e-61,DOWN,HIGH
ACSS2,3.0,0.0,Missense_Mutation,-1.72273687788253,2.05183587864315e-145,DOWN,HIGH
ACTA2,3.0,0.0,Missense_Mutation,-1.5710331480776,5.53274459283842e-51,DOWN,HIGH
ACTG2,3.0,0.0,"Missense_Mutation, Splice_Site",-1.92739457208921,1.34379675426927e-18,DOWN,HIGH
ACTN2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation, Frame_Shift_Del",2.58222864556741,7.29087281305576e-29,UP,HIGH
ACVR1C,3.0,0.0,Missense_Mutation,-4.72845154505556,3.74131384935354e-217,DOWN,HIGH
ADAM8,3.0,0.0,Missense_Mutation,2.26879077102605,3.91246999441594e-96,UP,HIGH
ADAMDEC1,3.0,0.0,Missense_Mutation,3.07503581867357,7.59810922646148e-62,UP,HIGH
